0	0
1	17.72
2	18.41
3	18.29
4	18.36
5	18.73
6	17.99
7	18.06
8	18.96
9	18.18
10	18.24
11	18.84
12	17.34
13	17.91
14	18.00
15	19.09
16	18.68
17	18.73
18	18.10
19	17.85
20	18.35
21	18.35
22	19.17
23	18.46
24	472.07
25	322.50
26	564.17
27	443.95
28	344.22
29	237.67
30	234.71
31	482.75
32	246.94
33	425.01
34	297.13
35	343.57
36	338.02
37	546.64
38	525.94
39	356.63
40	670.45
41	342.18
42	450.21
43	552.33
44	545.41
45	418.11
46	516.87
47	5.46
48	5.68
49	4.61
50	4.92
51	5.82
52	5.38
53	5.21
54	4.52
55	4.66
56	5.06
57	5.44
58	5.25
59	4.25
60	5.27
61	4.91
62	4.27
63	4.35
64	5.34
65	4.71
66	5.16
67	4.67
68	5.14
69	5.65
70	5.48
71	5.20
72	5.14
73	5.32
74	451.46
75	587.36
76	616.79
77	476.75
78	424.61
79	500.55
80	297.36
81	280.43
82	531.85
83	369.43
84	421.58
85	501.11
86	628.17
87	614.49
88	451.08
89	325.35
90	436.36
91	509.46
92	307.28
93	341.89
94	502.10
95	441.36
96	256.49
97	498.93
98	5.21
99	5.46
100	4.89
101	0
