HEFTmakespan:	HEFTsumcost:	maxTime:	NEWTESTmakespan:	NEWTESTsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	230.39	8973.32	1.1
210.00	9243.72	273.00	265.71	7527.47	1.3
210.00	9243.72	315.00	314.57	6354.39	1.5
210.00	9243.72	336.00	331.64	6053.42	1.6
210.00	9243.72	357.00	356.64	5330.25	1.7
210.00	9243.72	378.00	375.26	5116.16	1.8
210.00	9243.72	420.00	412.49	4840.62	2.0
210.00	9243.72	483.00	470.89	4586.06	2.3
210.00	9243.72	525.00	470.89	4586.06	2.5
210.00	9243.72	1050.00	437.64	4586.06	5.0
182.00	10540.18	200.20	198.78	9865.49	1.1
182.00	10540.18	236.60	236.17	8380.61	1.3
182.00	10540.18	273.00	266.24	7393.16	1.5
182.00	10540.18	291.20	291.09	6816.66	1.6
182.00	10540.18	309.40	308.09	6709.79	1.7
182.00	10540.18	327.60	323.72	6339.03	1.8
182.00	10540.18	364.00	358.57	5735.81	2.0
182.00	10540.18	418.60	413.12	4943.60	2.3
182.00	10540.18	455.00	440.12	4708.90	2.5
182.00	10540.18	910.00	457.35	4586.06	5.0
185.00	10207.13	203.50	198.00	9678.68	1.1
185.00	10207.13	240.50	235.00	8722.73	1.3
185.00	10207.13	277.50	270.00	6463.98	1.5
185.00	10207.13	296.00	294.00	5944.77	1.6
185.00	10207.13	314.50	312.00	5328.93	1.7
185.00	10207.13	333.00	329.00	4862.70	1.8
185.00	10207.13	370.00	368.00	4130.28	2.0
185.00	10207.13	425.50	405.00	3529.68	2.3
185.00	10207.13	462.50	405.00	3529.68	2.5
185.00	10207.13	925.00	405.00	3529.68	5.0
