0	7	12	18
1	8	14	17
2	9	12	16
3	7	14	16
4	8	12	16
5	8	12	17
6	9	13	18
7	9	12	18
8	9	13	17
9	8	11	17
10	6	13	17
11	8	11	16
12	6	13	18
13	7	12	17
14	7	11	16
15	8	14	17
16	6	12	17
17	9	12	18
18	8	14	18
19	8	13	18
20	8	12	18
21	7	11	18
22	8	14	16
23	8	12	16
24	8	14	19
25	8	11	17
26	6	14	18
27	6	13	18
28	6	11	18
29	9	14	19
30	8	13	16
31	7	14	17
32	8	14	16
33	8	14	16
34	7	14	16
35	9	11	18
36	7	14	19
37	6	11	18
38	7	12	19
39	9	11	19
40	7	12	17
41	9	14	16
42	7	14	16
43	9	11	16
44	9	13	16
45	7	14	18
46	9	11	18
47	6	12	17
48	9	13	18
49	7	13	19
50	7	13	17
51	6	14	17
52	6	14	19
