1	7	12	18
2	8	14	17
3	9	12	16
4	7	14	16
5	8	12	16
6	8	12	17
7	9	13	18
8	9	12	18
9	9	13	17
10	8	11	17
11	6	13	17
12	8	11	16
13	6	13	18
14	7	12	17
15	7	11	16
16	8	14	17
17	6	12	17
18	9	12	18
19	8	14	18
20	8	13	18
21	8	12	18
22	7	11	18
23	8	14	16
24	8	12	16
25	8	14	19
26	8	11	17
27	6	14	18
28	6	13	18
29	6	11	18
30	9	14	19
31	8	13	16
32	7	14	17
33	8	14	16
34	8	14	16
35	7	14	16
36	9	11	18
37	7	14	19
38	6	11	18
39	7	12	19
40	9	11	19
41	7	12	17
42	9	14	16
43	7	14	16
44	9	11	16
45	9	13	16
46	7	14	18
47	9	11	18
48	6	12	17
49	9	13	18
50	7	13	19
51	7	13	17
52	6	14	17
53	6	14	19
