338	7.58	7.58	10.61	10.61	8.84	7.58	7.58	8.84	10.61	10.61
339	7.59	7.59	10.63	10.63	8.86	7.59	7.59	8.86	10.63	10.63
941	7.73	7.73	10.82	10.82	9.02	7.73	7.73	9.02	10.82	10.82
942	7.64	7.64	10.69	10.69	8.91	7.64	7.64	8.91	10.69	10.69
940	7.69	7.69	10.77	10.77	8.98	7.69	7.69	8.98	10.77	10.77
945	7.67	7.67	10.74	10.74	8.95	7.67	7.67	8.95	10.74	10.74
332	7.49	7.49	10.48	10.48	8.73	7.49	7.49	8.73	10.48	10.48
946	7.71	7.71	10.80	10.80	9.00	7.71	7.71	9.00	10.80	10.80
333	7.50	7.50	10.50	10.50	8.75	7.50	7.50	8.75	10.50	10.50
943	7.78	7.78	10.89	10.89	9.08	7.78	7.78	9.08	10.89	10.89
330	7.54	7.54	10.56	10.56	8.80	7.54	7.54	8.80	10.56	10.56
944	7.59	7.59	10.62	10.62	8.85	7.59	7.59	8.85	10.62	10.62
331	7.51	7.51	10.51	10.51	8.76	7.51	7.51	8.76	10.51	10.51
949	7.59	7.59	10.62	10.62	8.85	7.59	7.59	8.85	10.62	10.62
336	7.62	7.62	10.67	10.67	8.89	7.62	7.62	8.89	10.67	10.67
337	7.55	7.55	10.57	10.57	8.81	7.55	7.55	8.81	10.57	10.57
947	7.49	7.49	10.48	10.48	8.73	7.49	7.49	8.73	10.48	10.48
334	7.54	7.54	10.55	10.55	8.79	7.54	7.54	8.79	10.55	10.55
948	7.84	7.84	10.98	10.98	9.15	7.84	7.84	9.15	10.98	10.98
335	7.47	7.47	10.46	10.46	8.72	7.47	7.47	8.72	10.46	10.46
531	7.57	7.57	10.60	10.60	8.83	7.57	7.57	8.83	10.60	10.60
748	7.74	7.74	10.84	10.84	9.03	7.74	7.74	9.03	10.84	10.84
530	7.56	7.56	10.58	10.58	8.82	7.56	7.56	8.82	10.58	10.58
747	7.65	7.65	10.71	10.71	8.93	7.65	7.65	8.93	10.71	10.71
746	7.58	7.58	10.61	10.61	8.84	7.58	7.58	8.84	10.61	10.61
745	7.56	7.56	10.59	10.59	8.83	7.56	7.56	8.83	10.59	10.59
535	7.51	7.51	10.52	10.52	8.77	7.51	7.51	8.77	10.52	10.52
534	7.58	7.58	10.61	10.61	8.84	7.58	7.58	8.84	10.61	10.61
533	7.50	7.50	10.50	10.50	8.75	7.50	7.50	8.75	10.50	10.50
532	7.64	7.64	10.69	10.69	8.91	7.64	7.64	8.91	10.69	10.69
749	7.60	7.60	10.64	10.64	8.87	7.60	7.60	8.87	10.64	10.64
539	7.55	7.55	10.57	10.57	8.81	7.55	7.55	8.81	10.57	10.57
740	7.59	7.59	10.62	10.62	8.85	7.59	7.59	8.85	10.62	10.62
538	7.46	7.46	10.44	10.44	8.70	7.46	7.46	8.70	10.44	10.44
537	7.55	7.55	10.57	10.57	8.81	7.55	7.55	8.81	10.57	10.57
536	7.54	7.54	10.55	10.55	8.79	7.54	7.54	8.79	10.55	10.55
744	7.52	7.52	10.53	10.53	8.77	7.52	7.52	8.77	10.53	10.53
743	7.64	7.64	10.69	10.69	8.91	7.64	7.64	8.91	10.69	10.69
742	7.71	7.71	10.80	10.80	9.00	7.71	7.71	9.00	10.80	10.80
741	7.46	7.46	10.45	10.45	8.71	7.46	7.46	8.71	10.45	10.45
349	7.60	7.60	10.64	10.64	8.87	7.60	7.60	8.87	10.64	10.64
930	7.61	7.61	10.66	10.66	8.88	7.61	7.61	8.88	10.66	10.66
931	7.76	7.76	10.86	10.86	9.05	7.76	7.76	9.05	10.86	10.86
932	7.74	7.74	10.84	10.84	9.03	7.74	7.74	9.03	10.84	10.84
341	7.61	7.61	10.66	10.66	8.88	7.61	7.61	8.88	10.66	10.66
933	7.82	7.82	10.95	10.95	9.13	7.82	7.82	9.13	10.95	10.95
342	7.46	7.46	10.44	10.44	8.70	7.46	7.46	8.70	10.44	10.44
