0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	0.09	0.13	0.08	0.13	0.07	0.09	0.09	0.08	0.08	0.13	0.08	0.08	0.18	0.08	0.07	0.18	0.08	0.09	0.07	0.09	0.13	0.09	0.07	0.08	0.13	0.13	0.09	0.07	0.08	0.13
2	1.46	1.99	1.21	1.99	1.04	1.46	1.46	1.21	1.21	1.99	1.21	1.21	2.73	1.21	1.04	2.73	1.21	1.46	1.04	1.46	1.99	1.46	1.04	1.21	1.99	1.99	1.46	1.04	1.21	1.99
3	1.36	1.86	1.14	1.86	0.97	1.36	1.36	1.14	1.14	1.86	1.14	1.14	2.56	1.14	0.97	2.56	1.14	1.36	0.97	1.36	1.86	1.36	0.97	1.14	1.86	1.86	1.36	0.97	1.14	1.86
4	1.58	2.15	1.31	2.15	1.13	1.58	1.58	1.31	1.31	2.15	1.31	1.31	2.95	1.31	1.13	2.95	1.31	1.58	1.13	1.58	2.15	1.58	1.13	1.31	2.15	2.15	1.58	1.13	1.31	2.15
5	1.17	1.60	0.98	1.60	0.84	1.17	1.17	0.98	0.98	1.60	0.98	0.98	2.20	0.98	0.84	2.20	0.98	1.17	0.84	1.17	1.60	1.17	0.84	0.98	1.60	1.60	1.17	0.84	0.98	1.60
6	1.53	2.09	1.27	2.09	1.09	1.53	1.53	1.27	1.27	2.09	1.27	1.27	2.87	1.27	1.09	2.87	1.27	1.53	1.09	1.53	2.09	1.53	1.09	1.27	2.09	2.09	1.53	1.09	1.27	2.09
7	1.54	2.10	1.28	2.10	1.10	1.54	1.54	1.28	1.28	2.10	1.28	1.28	2.89	1.28	1.10	2.89	1.28	1.54	1.10	1.54	2.10	1.54	1.10	1.28	2.10	2.10	1.54	1.10	1.28	2.10
8	0.74	1.00	0.61	1.00	0.53	0.74	0.74	0.61	0.61	1.00	0.61	0.61	1.38	0.61	0.53	1.38	0.61	0.74	0.53	0.74	1.00	0.74	0.53	0.61	1.00	1.00	0.74	0.53	0.61	1.00
800	1.02	1.39	0.85	1.39	0.73	1.02	1.02	0.85	0.85	1.39	0.85	0.85	1.92	0.85	0.73	1.92	0.85	1.02	0.73	1.02	1.39	1.02	0.73	0.85	1.39	1.39	1.02	0.73	0.85	1.39
9	1.56	2.13	1.30	2.13	1.12	1.56	1.56	1.30	1.30	2.13	1.30	1.30	2.93	1.30	1.12	2.93	1.30	1.56	1.12	1.56	2.13	1.56	1.12	1.30	2.13	2.13	1.56	1.12	1.30	2.13
801	1.57	2.15	1.31	2.15	1.12	1.57	1.57	1.31	1.31	2.15	1.31	1.31	2.95	1.31	1.12	2.95	1.31	1.57	1.12	1.57	2.15	1.57	1.12	1.31	2.15	2.15	1.57	1.12	1.31	2.15
802	0.85	1.15	0.71	1.15	0.60	0.85	0.85	0.71	0.71	1.15	0.71	0.71	1.59	0.71	0.60	1.59	0.71	0.85	0.60	0.85	1.15	0.85	0.60	0.71	1.15	1.15	0.85	0.60	0.71	1.15
803	1.08	1.47	0.90	1.47	0.77	1.08	1.08	0.90	0.90	1.47	0.90	0.90	2.02	0.90	0.77	2.02	0.90	1.08	0.77	1.08	1.47	1.08	0.77	0.90	1.47	1.47	1.08	0.77	0.90	1.47
804	1.19	1.62	0.99	1.62	0.85	1.19	1.19	0.99	0.99	1.62	0.99	0.99	2.23	0.99	0.85	2.23	0.99	1.19	0.85	1.19	1.62	1.19	0.85	0.99	1.62	1.62	1.19	0.85	0.99	1.62
