HEFTmakespan:	HEFTsumcost:	maxTime:	NEWTESTmakespan:	NEWTESTsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	223.43	8878.94	1.1
210.00	9243.72	273.00	272.45	6182.34	1.3
210.00	9243.72	315.00	311.19	4998.43	1.5
210.00	9243.72	336.00	333.87	5406.83	1.6
210.00	9243.72	357.00	354.27	4857.96	1.7
210.00	9243.72	378.00	375.59	4937.24	1.8
210.00	9243.72	420.00	412.30	4710.69	2.0
210.00	9243.72	483.00	482.83	4607.45	2.3
210.00	9243.72	525.00	502.92	4586.06	2.5
210.00	9243.72	1050.00	481.98	4586.06	5.0
182.00	10540.18	200.20	198.78	9650.19	1.1
182.00	10540.18	236.60	236.39	6725.64	1.3
182.00	10540.18	273.00	271.67	5820.24	1.5
182.00	10540.18	291.20	281.09	5791.84	1.6
182.00	10540.18	309.40	299.09	5598.91	1.7
182.00	10540.18	327.60	325.18	5289.35	1.8
182.00	10540.18	364.00	353.03	4974.72	2.0
182.00	10540.18	418.60	401.26	4683.52	2.3
182.00	10540.18	455.00	439.35	4619.33	2.5
182.00	10540.18	910.00	490.60	4586.06	5.0
185.00	10207.13	203.50	201.80	9284.46	1.1
185.00	10207.13	240.50	239.04	8294.80	1.3
185.00	10207.13	277.50	268.00	7964.21	1.5
185.00	10207.13	296.00	286.00	7899.14	1.6
185.00	10207.13	314.50	292.00	7899.14	1.7
185.00	10207.13	333.00	333.00	4381.49	1.8
185.00	10207.13	370.00	356.00	3817.68	2.0
185.00	10207.13	425.50	414.00	3529.68	2.3
185.00	10207.13	462.50	414.00	3529.68	2.5
185.00	10207.13	925.00	406.00	3529.68	5.0
