HEFTmakespan:	HEFTsumcost:	maxTime:	NEWTESTmakespan:	NEWTESTsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	230.00	8709.85	1.1
210.00	9243.72	273.00	270.27	5808.28	1.3
210.00	9243.72	315.00	308.18	5118.53	1.5
210.00	9243.72	336.00	328.94	5395.92	1.6
210.00	9243.72	357.00	356.19	4917.18	1.7
210.00	9243.72	378.00	375.26	4844.20	1.8
210.00	9243.72	420.00	413.29	4663.86	2.0
210.00	9243.72	483.00	470.89	4586.06	2.3
210.00	9243.72	525.00	470.89	4586.06	2.5
210.00	9243.72	1050.00	437.64	4586.06	5.0
182.00	10540.18	200.20	200.01	9563.74	1.1
182.00	10540.18	236.60	236.50	7681.70	1.3
182.00	10540.18	273.00	269.76	6537.00	1.5
182.00	10540.18	291.20	290.61	5634.56	1.6
182.00	10540.18	309.40	307.09	6211.98	1.7
182.00	10540.18	327.60	325.93	5120.31	1.8
182.00	10540.18	364.00	360.32	4975.98	2.0
182.00	10540.18	418.60	406.46	4715.80	2.3
182.00	10540.18	455.00	440.12	4651.61	2.5
182.00	10540.18	910.00	457.35	4586.06	5.0
185.00	10207.13	203.50	201.80	9284.46	1.1
185.00	10207.13	240.50	235.03	8257.06	1.3
185.00	10207.13	277.50	270.00	4948.05	1.5
185.00	10207.13	296.00	285.00	4732.02	1.6
185.00	10207.13	314.50	312.00	4354.95	1.7
185.00	10207.13	333.00	320.00	4182.21	1.8
185.00	10207.13	370.00	359.00	3845.40	2.0
185.00	10207.13	425.50	405.00	3529.68	2.3
185.00	10207.13	462.50	405.00	3529.68	2.5
185.00	10207.13	925.00	405.00	3529.68	5.0
