HEFTmakespan:	HEFTsumcost:	maxTime:	NEWtestmakespan:	newtestsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	230.96	8917.91	1.1
210.00	9243.72	273.00	267.78	7379.42	1.3
210.00	9243.72	315.00	314.89	5978.23	1.5
210.00	9243.72	336.00	334.54	5491.65	1.6
210.00	9243.72	357.00	355.37	5512.11	1.7
210.00	9243.72	378.00	376.29	5266.07	1.8
210.00	9243.72	420.00	418.58	4966.06	2.0
210.00	9243.72	483.00	465.54	4708.63	2.3
210.00	9243.72	525.00	517.26	4609.80	2.5
210.00	9243.72	1050.00	528.35	4586.06	5.0
182.00	10540.18	200.20	198.38	9807.93	1.1
182.00	10540.18	236.60	234.63	8559.26	1.3
182.00	10540.18	273.00	262.93	7081.12	1.5
182.00	10540.18	291.20	283.61	6342.93	1.6
182.00	10540.18	309.40	305.46	5669.66	1.7
182.00	10540.18	327.60	327.54	5516.36	1.8
182.00	10540.18	364.00	361.40	5718.82	2.0
182.00	10540.18	418.60	415.18	4999.78	2.3
182.00	10540.18	455.00	444.60	4885.15	2.5
182.00	10540.18	910.00	545.59	4586.06	5.0
185.00	10207.13	203.50	196.14	9473.79	1.1
185.00	10207.13	240.50	239.06	8257.06	1.3
185.00	10207.13	277.50	275.75	5260.11	1.5
185.00	10207.13	296.00	288.00	4470.72	1.6
185.00	10207.13	314.50	312.00	4484.49	1.7
185.00	10207.13	333.00	330.13	4089.42	1.8
185.00	10207.13	370.00	364.00	3764.43	2.0
185.00	10207.13	425.50	411.00	3529.68	2.3
185.00	10207.13	462.50	411.00	3529.68	2.5
185.00	10207.13	925.00	411.00	3529.68	5.0
