HEFTmakespan:	HEFTsumcost:	maxTime:	NEWTESTmakespan:	NEWTESTsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	229.48	8751.04	1.1
210.00	9243.72	273.00	271.28	6436.70	1.3
210.00	9243.72	315.00	308.95	5168.42	1.5
210.00	9243.72	336.00	333.27	4934.04	1.6
210.00	9243.72	357.00	354.14	4761.52	1.7
210.00	9243.72	378.00	363.47	4699.10	1.8
210.00	9243.72	420.00	409.56	4649.76	2.0
210.00	9243.72	483.00	426.56	4586.06	2.3
210.00	9243.72	525.00	426.56	4586.06	2.5
210.00	9243.72	1050.00	426.56	4586.06	5.0
182.00	10540.18	200.20	197.56	9424.18	1.1
182.00	10540.18	236.60	227.00	7984.91	1.3
182.00	10540.18	273.00	266.78	6489.66	1.5
182.00	10540.18	291.20	290.51	6127.99	1.6
182.00	10540.18	309.40	308.52	5582.34	1.7
182.00	10540.18	327.60	327.09	5716.33	1.8
182.00	10540.18	364.00	362.44	5257.55	2.0
182.00	10540.18	418.60	414.12	4682.53	2.3
182.00	10540.18	455.00	451.19	4586.06	2.5
182.00	10540.18	910.00	443.80	4586.06	5.0
185.00	10207.13	203.50	201.05	9209.74	1.1
185.00	10207.13	240.50	229.03	8349.85	1.3
185.00	10207.13	277.50	270.00	4840.39	1.5
185.00	10207.13	296.00	295.04	4538.19	1.6
185.00	10207.13	314.50	305.00	4330.46	1.7
185.00	10207.13	333.00	324.00	4132.86	1.8
185.00	10207.13	370.00	365.00	3845.40	2.0
185.00	10207.13	425.50	411.00	3529.68	2.3
185.00	10207.13	462.50	411.00	3529.68	2.5
185.00	10207.13	925.00	411.00	3529.68	5.0
