HEFTmakespan:	HEFTsumcost:	maxTime:	NEWTESTmakespan:	NEWTESTsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	230.00	8818.32	1.1
210.00	9243.72	273.00	270.60	6608.55	1.3
210.00	9243.72	315.00	314.35	5515.16	1.5
210.00	9243.72	336.00	333.35	5515.86	1.6
210.00	9243.72	357.00	352.35	4841.27	1.7
210.00	9243.72	378.00	367.42	4682.33	1.8
210.00	9243.72	420.00	409.56	4649.76	2.0
210.00	9243.72	483.00	426.56	4586.06	2.3
210.00	9243.72	525.00	426.56	4586.06	2.5
210.00	9243.72	1050.00	426.56	4586.06	5.0
182.00	10540.18	200.20	199.09	9516.95	1.1
182.00	10540.18	236.60	234.29	7969.87	1.3
182.00	10540.18	273.00	270.49	6614.88	1.5
182.00	10540.18	291.20	285.49	6354.80	1.6
182.00	10540.18	309.40	306.49	5918.41	1.7
182.00	10540.18	327.60	325.49	5639.22	1.8
182.00	10540.18	364.00	361.23	4872.09	2.0
182.00	10540.18	418.60	403.63	4650.17	2.3
182.00	10540.18	455.00	432.72	4586.06	2.5
182.00	10540.18	910.00	432.72	4586.06	5.0
185.00	10207.13	203.50	201.05	9209.74	1.1
185.00	10207.13	240.50	229.03	8349.85	1.3
185.00	10207.13	277.50	270.00	4847.42	1.5
185.00	10207.13	296.00	285.00	4538.19	1.6
185.00	10207.13	314.50	305.00	4285.93	1.7
185.00	10207.13	333.00	324.00	4134.30	1.8
185.00	10207.13	370.00	365.00	3845.40	2.0
185.00	10207.13	425.50	417.00	3529.68	2.3
185.00	10207.13	462.50	417.00	3529.68	2.5
185.00	10207.13	925.00	417.00	3529.68	5.0
