35	286.31	245.41	644.19	286.31	468.50	644.19	468.50	245.41	468.50	343.57	343.57	245.41	468.50	468.50	245.41	286.31	286.31	468.50	286.31	644.19	245.41	468.50	286.31	343.57	245.41	644.19	343.57	343.57	286.31	286.31	286.31	286.31	468.50	468.50	343.57
36	281.68	241.44	633.79	281.68	460.94	633.79	460.94	241.44	460.94	338.02	338.02	241.44	460.94	460.94	241.44	281.68	281.68	460.94	281.68	633.79	241.44	460.94	281.68	338.02	241.44	633.79	338.02	338.02	281.68	281.68	281.68	281.68	460.94	460.94	338.02
33	354.18	303.58	796.89	354.18	579.56	796.89	579.56	303.58	579.56	425.01	425.01	303.58	579.56	579.56	303.58	354.18	354.18	579.56	354.18	796.89	303.58	579.56	354.18	425.01	303.58	796.89	425.01	425.01	354.18	354.18	354.18	354.18	579.56	579.56	425.01
34	247.61	212.24	557.12	247.61	405.18	557.12	405.18	212.24	405.18	297.13	297.13	212.24	405.18	405.18	212.24	247.61	247.61	405.18	247.61	557.12	212.24	405.18	247.61	297.13	212.24	557.12	297.13	297.13	247.61	247.61	247.61	247.61	405.18	405.18	297.13
39	297.19	254.74	668.68	297.19	486.31	668.68	486.31	254.74	486.31	356.63	356.63	254.74	486.31	486.31	254.74	297.19	297.19	486.31	297.19	668.68	254.74	486.31	297.19	356.63	254.74	668.68	356.63	356.63	297.19	297.19	297.19	297.19	486.31	486.31	356.63
37	455.53	390.46	1024.95	455.53	745.42	1024.95	745.42	390.46	745.42	546.64	546.64	390.46	745.42	745.42	390.46	455.53	455.53	745.42	455.53	1024.95	390.46	745.42	455.53	546.64	390.46	1024.95	546.64	546.64	455.53	455.53	455.53	455.53	745.42	745.42	546.64
38	438.28	375.67	986.14	438.28	717.19	986.14	717.19	375.67	717.19	525.94	525.94	375.67	717.19	717.19	375.67	438.28	438.28	717.19	438.28	986.14	375.67	717.19	438.28	525.94	375.67	986.14	525.94	525.94	438.28	438.28	438.28	438.28	717.19	717.19	525.94
43	460.28	394.52	1035.62	460.28	753.18	1035.62	753.18	394.52	753.18	552.33	552.33	394.52	753.18	753.18	394.52	460.28	460.28	753.18	460.28	1035.62	394.52	753.18	460.28	552.33	394.52	1035.62	552.33	552.33	460.28	460.28	460.28	460.28	753.18	753.18	552.33
42	375.18	321.58	844.14	375.18	613.92	844.14	613.92	321.58	613.92	450.21	450.21	321.58	613.92	613.92	321.58	375.18	375.18	613.92	375.18	844.14	321.58	613.92	375.18	450.21	321.58	844.14	450.21	450.21	375.18	375.18	375.18	375.18	613.92	613.92	450.21
41	285.15	244.41	641.59	285.15	466.61	641.59	466.61	244.41	466.61	342.18	342.18	244.41	466.61	466.61	244.41	285.15	285.15	466.61	285.15	641.59	244.41	466.61	285.15	342.18	244.41	641.59	342.18	342.18	285.15	285.15	285.15	285.15	466.61	466.61	342.18
40	558.71	478.89	1257.09	558.71	914.25	1257.09	914.25	478.89	914.25	670.45	670.45	478.89	914.25	914.25	478.89	558.71	558.71	914.25	558.71	1257.09	478.89	914.25	558.71	670.45	478.89	1257.09	670.45	670.45	558.71	558.71	558.71	558.71	914.25	914.25	670.45
22	15.98	13.69	35.94	15.98	26.14	35.94	26.14	13.69	26.14	19.17	19.17	13.69	26.14	26.14	13.69	15.98	15.98	26.14	15.98	35.94	13.69	26.14	15.98	19.17	13.69	35.94	19.17	19.17	15.98	15.98	15.98	15.98	26.14	26.14	19.17
23	15.38	13.19	34.61	15.38	25.17	34.61	25.17	13.19	25.17	18.46	18.46	13.19	25.17	25.17	13.19	15.38	15.38	25.17	15.38	34.61	13.19	25.17	15.38	18.46	13.19	34.61	18.46	18.46	15.38	15.38	15.38	15.38	25.17	25.17	18.46
24	393.39	337.19	885.13	393.39	643.73	885.13	643.73	337.19	643.73	472.07	472.07	337.19	643.73	643.73	337.19	393.39	393.39	643.73	393.39	885.13	337.19	643.73	393.39	472.07	337.19	885.13	472.07	472.07	393.39	393.39	393.39	393.39	643.73	643.73	472.07
