HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
93.15	2202.14	102.47	93.15	2202.14	1.1
93.15	2202.14	121.09	121.04	1896.16	1.3
93.15	2202.14	139.72	133.74	1823.28	1.5
93.15	2202.14	149.04	146.64	1727.80	1.6
93.15	2202.14	158.35	146.64	1727.80	1.7
93.15	2202.14	167.67	159.53	1655.87	1.8
93.15	2202.14	186.30	185.33	1506.15	2.0
93.15	2202.14	214.24	203.79	1449.14	2.3
93.15	2202.14	232.87	232.49	1323.79	2.5
93.15	2202.14	465.75	440.47	747.11	5.0
77.70	1815.65	85.47	77.70	1815.65	1.1
77.70	1815.65	101.01	99.71	1662.68	1.3
77.70	1815.65	116.55	109.56	1548.63	1.5
77.70	1815.65	124.32	120.72	1456.71	1.6
77.70	1815.65	132.09	130.68	1407.99	1.7
77.70	1815.65	139.86	139.79	1370.33	1.8
77.70	1815.65	155.40	152.95	1317.15	2.0
77.70	1815.65	178.71	176.69	1173.54	2.3
77.70	1815.65	194.25	189.59	1105.22	2.5
77.70	1815.65	388.50	347.61	622.72	5.0
66.59	1511.15	73.25	66.59	1511.15	1.1
66.59	1511.15	86.57	82.21	1382.35	1.3
66.59	1511.15	99.89	99.01	1296.04	1.5
66.59	1511.15	106.54	100.55	1293.62	1.6
66.59	1511.15	113.20	108.36	1238.65	1.7
66.59	1511.15	119.86	118.41	1200.55	1.8
66.59	1511.15	133.18	127.61	1145.58	2.0
66.59	1511.15	153.16	149.41	1068.43	2.3
66.59	1511.15	166.48	158.80	1017.71	2.5
66.59	1511.15	332.95	320.71	549.87	5.0
66.59	1537.21	73.25	66.59	1537.21	1.1
66.59	1537.21	86.57	79.09	1412.73	1.3
66.59	1537.21	99.89	97.52	1281.33	1.5
66.59	1537.21	106.54	106.47	1239.13	1.6
66.59	1537.21	113.20	106.60	1229.24	1.7
66.59	1537.21	119.86	115.81	1176.62	1.8
66.59	1537.21	133.18	125.03	1122.82	2.0
66.59	1537.21	153.16	152.68	970.30	2.3
66.59	1537.21	166.48	161.89	921.17	2.5
66.59	1537.21	332.95	297.24	533.59	5.0
66.59	1560.32	73.25	66.59	1560.32	1.1
66.59	1560.32	86.57	82.21	1445.60	1.3
66.59	1560.32	99.89	97.83	1350.70	1.5
66.59	1560.32	106.54	105.64	1308.97	1.6
66.59	1560.32	113.20	112.77	1283.06	1.7
66.59	1560.32	119.86	112.77	1283.06	1.8
66.59	1560.32	133.18	130.14	1204.99	2.0
66.59	1560.32	153.16	147.51	1096.04	2.3
66.59	1560.32	166.48	163.13	975.89	2.5
66.59	1560.32	332.95	301.99	533.59	5.0
66.59	1497.42	73.25	66.59	1497.42	1.1
66.59	1497.42	86.57	79.09	1372.95	1.3
66.59	1497.42	99.89	97.52	1241.55	1.5
66.59	1497.42	106.54	106.47	1199.35	1.6
66.59	1497.42	113.20	106.60	1189.46	1.7
66.59	1497.42	119.86	115.81	1136.83	1.8
66.59	1497.42	133.18	125.03	1085.42	2.0
66.59	1497.42	153.16	152.68	943.66	2.3
66.59	1497.42	166.48	161.89	901.27	2.5
66.59	1497.42	332.95	298.31	533.59	5.0
66.59	1527.56	73.25	66.59	1527.56	1.1
66.59	1527.56	86.57	82.21	1424.10	1.3
66.59	1527.56	99.89	98.06	1306.13	1.5
66.59	1527.56	106.54	105.87	1273.13	1.6
66.59	1527.56	113.20	107.13	1272.57	1.7
66.59	1527.56	119.86	114.94	1213.86	1.8
66.59	1527.56	133.18	131.48	1142.26	2.0
66.59	1527.56	153.16	152.50	1023.84	2.3
66.59	1527.56	166.48	162.06	965.83	2.5
66.59	1527.56	332.95	296.42	533.59	5.0
