0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	0.09	0.08	0.08	0.18	0.18	0.08	0.09	0.08	0.07	0.13	0.18	0.08	0.08	0.13	0.07	0.09	0.18	0.07	0.07	0.18	0.07	0.09	0.08	0.08	0.18	0.08	0.08	0.08	0.13	0.13	0.13	0.09	0.08	0.08	0.07
2	1.46	1.21	1.21	2.73	2.73	1.21	1.46	1.21	1.04	1.99	2.73	1.21	1.21	1.99	1.04	1.46	2.73	1.04	1.04	2.73	1.04	1.46	1.21	1.21	2.73	1.21	1.21	1.21	1.99	1.99	1.99	1.46	1.21	1.21	1.04
3	1.36	1.14	1.14	2.56	2.56	1.14	1.36	1.14	0.97	1.86	2.56	1.14	1.14	1.86	0.97	1.36	2.56	0.97	0.97	2.56	0.97	1.36	1.14	1.14	2.56	1.14	1.14	1.14	1.86	1.86	1.86	1.36	1.14	1.14	0.97
4	1.58	1.31	1.31	2.95	2.95	1.31	1.58	1.31	1.13	2.15	2.95	1.31	1.31	2.15	1.13	1.58	2.95	1.13	1.13	2.95	1.13	1.58	1.31	1.31	2.95	1.31	1.31	1.31	2.15	2.15	2.15	1.58	1.31	1.31	1.13
5	1.17	0.98	0.98	2.20	2.20	0.98	1.17	0.98	0.84	1.60	2.20	0.98	0.98	1.60	0.84	1.17	2.20	0.84	0.84	2.20	0.84	1.17	0.98	0.98	2.20	0.98	0.98	0.98	1.60	1.60	1.60	1.17	0.98	0.98	0.84
6	1.53	1.27	1.27	2.87	2.87	1.27	1.53	1.27	1.09	2.09	2.87	1.27	1.27	2.09	1.09	1.53	2.87	1.09	1.09	2.87	1.09	1.53	1.27	1.27	2.87	1.27	1.27	1.27	2.09	2.09	2.09	1.53	1.27	1.27	1.09
7	1.54	1.28	1.28	2.89	2.89	1.28	1.54	1.28	1.10	2.10	2.89	1.28	1.28	2.10	1.10	1.54	2.89	1.10	1.10	2.89	1.10	1.54	1.28	1.28	2.89	1.28	1.28	1.28	2.10	2.10	2.10	1.54	1.28	1.28	1.10
8	0.74	0.61	0.61	1.38	1.38	0.61	0.74	0.61	0.53	1.00	1.38	0.61	0.61	1.00	0.53	0.74	1.38	0.53	0.53	1.38	0.53	0.74	0.61	0.61	1.38	0.61	0.61	0.61	1.00	1.00	1.00	0.74	0.61	0.61	0.53
800	1.02	0.85	0.85	1.92	1.92	0.85	1.02	0.85	0.73	1.39	1.92	0.85	0.85	1.39	0.73	1.02	1.92	0.73	0.73	1.92	0.73	1.02	0.85	0.85	1.92	0.85	0.85	0.85	1.39	1.39	1.39	1.02	0.85	0.85	0.73
9	1.56	1.30	1.30	2.93	2.93	1.30	1.56	1.30	1.12	2.13	2.93	1.30	1.30	2.13	1.12	1.56	2.93	1.12	1.12	2.93	1.12	1.56	1.30	1.30	2.93	1.30	1.30	1.30	2.13	2.13	2.13	1.56	1.30	1.30	1.12
801	1.57	1.31	1.31	2.95	2.95	1.31	1.57	1.31	1.12	2.15	2.95	1.31	1.31	2.15	1.12	1.57	2.95	1.12	1.12	2.95	1.12	1.57	1.31	1.31	2.95	1.31	1.31	1.31	2.15	2.15	2.15	1.57	1.31	1.31	1.12
802	0.85	0.71	0.71	1.59	1.59	0.71	0.85	0.71	0.60	1.15	1.59	0.71	0.71	1.15	0.60	0.85	1.59	0.60	0.60	1.59	0.60	0.85	0.71	0.71	1.59	0.71	0.71	0.71	1.15	1.15	1.15	0.85	0.71	0.71	0.60
803	1.08	0.90	0.90	2.02	2.02	0.90	1.08	0.90	0.77	1.47	2.02	0.90	0.90	1.47	0.77	1.08	2.02	0.77	0.77	2.02	0.77	1.08	0.90	0.90	2.02	0.90	0.90	0.90	1.47	1.47	1.47	1.08	0.90	0.90	0.77
804	1.19	0.99	0.99	2.23	2.23	0.99	1.19	0.99	0.85	1.62	2.23	0.99	0.99	1.62	0.85	1.19	2.23	0.85	0.85	2.23	0.85	1.19	0.99	0.99	2.23	0.99	0.99	0.99	1.62	1.62	1.62	1.19	0.99	0.99	0.85
805	2022.74	1685.62	1685.62	3792.64	3792.64	1685.62	2022.74	1685.62	1444.81	2758.28	3792.64	1685.62	1685.62	2758.28	1444.81	2022.74	3792.64	1444.81	1444.81	3792.64	1444.81	2022.74	1685.62	1685.62	3792.64	1685.62	1685.62	1685.62	2758.28	2758.28	2758.28	2022.74	1685.62	1685.62	1444.81
806	32.22	26.85	26.85	60.41	60.41	26.85	32.22	26.85	23.01	43.93	60.41	26.85	26.85	43.93	23.01	32.22	60.41	23.01	23.01	60.41	23.01	32.22	26.85	26.85	60.41	26.85	26.85	26.85	43.93	43.93	43.93	32.22	26.85	26.85	23.01
807	37.31	31.09	31.09	69.95	69.95	31.09	37.31	31.09	26.65	50.88	69.95	31.09	31.09	50.88	26.65	37.31	69.95	26.65	26.65	69.95	26.65	37.31	31.09	31.09	69.95	31.09	31.09	31.09	50.88	50.88	50.88	37.31	31.09	31.09	26.65
808	2555.25	2129.37	2129.37	4791.09	4791.09	2129.37	2555.25	2129.37	1825.18	3484.43	4791.09	2129.37	2129.37	3484.43	1825.18	2555.25	4791.09	1825.18	1825.18	4791.09	1825.18	2555.25	2129.37	2129.37	4791.09	2129.37	2129.37	2129.37	3484.43	3484.43	3484.43	2555.25	2129.37	2129.37	1825.18
809	250.05	208.38	208.38	468.85	468.85	208.38	250.05	208.38	178.61	340.98	468.85	208.38	208.38	340.98	178.61	250.05	468.85	178.61	178.61	468.85	178.61	250.05	208.38	208.38	468.85	208.38	208.38	208.38	340.98	340.98	340.98	250.05	208.38	208.38	178.61
810	1.66	1.38	1.38	3.11	3.11	1.38	1.66	1.38	1.19	2.26	3.11	1.38	1.38	2.26	1.19	1.66	3.11	1.19	1.19	3.11	1.19	1.66	1.38	1.38	3.11	1.38	1.38	1.38	2.26	2.26	2.26	1.66	1.38	1.38	1.19
