2	30	0.06
5	38	0.06
9	42	0.06
2	35	0.06
13	37	0.06
15	34	0.06
1	28	0.06
10	43	0.06
1	24	0.06
1	25	0.06
1	26	0.06
1	27	0.06
8	41	0.06
1	21	0.06
1	20	0.06
79	95	0.00
1	23	0.06
79	94	0.00
1	22	0.06
6	39	0.06
8	88	0.06
8	49	0.06
89	96	0.06
15	28	0.06
79	93	0.00
6	30	0.06
79	92	0.00
79	91	0.00
79	90	0.00
63	78	0.00
0	45	0.06
44	78	0.00
13	27	0.06
2	46	0.06
9	54	0.06
64	78	0.00
10	52	0.06
1	39	0.06
59	78	0.00
12	26	0.06
1	38	0.06
6	43	0.06
6	44	0.06
12	32	0.06
27	78	0.00
7	70	0.06
11	76	0.06
53	78	0.00
8	75	0.06
13	33	0.06
92	96	0.06
6	40	0.06
6	41	0.06
6	42	0.06
0	19	0.06
0	18	0.06
0	17	0.06
0	16	0.06
5	57	0.06
12	36	0.06
49	78	0.00
10	61	0.06
10	60	0.06
26	78	0.00
9	25	0.06
8	63	0.06
10	55	0.06
10	56	0.06
10	57	0.06
11	64	0.06
11	63	0.06
10	58	0.06
11	62	0.06
10	59	0.06
31	78	0.00
58	78	0.00
13	60	0.06
12	44	0.06
94	96	0.06
7	45	0.06
71	78	0.00
8	24	0.06
7	47	0.06
7	46	0.06
7	48	0.06
13	68	0.06
97	98	1.03
96	97	0.00
91	96	0.06
11	48	0.06
11	53	0.06
7	50	0.06
8	52	0.06
8	53	0.06
8	50	0.06
1	55	0.06
8	51	0.06
7	58	0.06
93	96	0.06
0	20	0.06
40	78	0.00
17	78	0.00
15	73	0.06
1	68	0.06
15	77	0.06
15	76	0.06
15	75	0.06
15	74	0.06
9	89	0.06
7	23	0.06
62	78	0.00
57	78	0.00
42	78	0.00
88	96	0.06
12	65	0.06
70	78	0.00
52	78	0.00
12	67	0.06
12	66	0.06
80	96	0.06
48	78	0.00
73	78	0.00
47	78	0.00
6	86	0.06
7	31	0.06
77	78	0.00
45	78	0.00
35	78	0.00
12	71	0.06
25	78	0.00
22	78	0.00
13	19	0.06
3	33	0.06
19	78	0.00
3	34	0.06
3	31	0.06
3	32	0.06
18	78	0.00
1	81	0.06
16	78	0.00
56	78	0.00
32	78	0.00
90	96	0.06
15	67	0.06
3	29	0.06
46	78	0.00
79	80	0.00
2	29	0.06
79	81	0.00
11	91	0.06
79	82	0.00
12	92	0.06
3	21	0.06
79	87	0.00
79	88	0.00
79	89	0.00
79	83	0.00
79	84	0.00
54	78	0.00
79	85	0.00
79	86	0.00
4	49	0.06
36	78	0.00
3	47	0.06
37	78	0.00
38	78	0.00
95	96	0.06
82	96	0.06
4	40	0.06
3	56	0.06
72	78	0.00
98	99	0.02
85	96	0.06
4	37	0.06
4	36	0.06
4	35	0.06
34	78	0.00
55	78	0.00
14	94	0.06
39	78	0.00
81	96	0.06
15	95	0.06
78	79	0.00
3	74	0.06
76	78	0.00
65	78	0.00
74	78	0.00
75	78	0.00
13	72	0.06
14	77	0.06
60	78	0.00
3	83	0.06
84	96	0.06
61	78	0.00
13	70	0.06
13	71	0.06
2	82	0.06
13	69	0.06
4	84	0.06
7	87	0.06
29	78	0.00
14	64	0.06
14	61	0.06
0	80	0.06
41	78	0.00
5	69	0.06
67	78	0.00
66	78	0.00
43	78	0.00
10	90	0.06
20	78	0.00
2	73	0.06
33	78	0.00
13	93	0.06
83	96	0.06
30	78	0.00
11	18	0.06
69	78	0.00
4	65	0.06
21	78	0.00
9	17	0.06
23	78	0.00
24	78	0.00
0	62	0.06
6	22	0.06
1	16	0.06
50	78	0.00
51	78	0.00
5	85	0.06
87	96	0.06
28	78	0.00
86	96	0.06
68	78	0.00
