0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	11.18	13.41	18.29	13.41	18.29	9.58	18.29	25.14	13.41	25.14	25.14	11.18	9.58	11.18	13.41
2	10.98	13.18	17.97	13.18	17.97	9.41	17.97	24.71	13.18	24.71	24.71	10.98	9.41	10.98	13.18
3	11.18	13.42	18.30	13.42	18.30	9.59	18.30	25.16	13.42	25.16	25.16	11.18	9.59	11.18	13.42
4	11.41	13.69	18.67	13.69	18.67	9.78	18.67	25.67	13.69	25.67	25.67	11.41	9.78	11.41	13.69
5	11.60	13.92	18.98	13.92	18.98	9.94	18.98	26.10	13.92	26.10	26.10	11.60	9.94	11.60	13.92
6	11.27	13.52	18.44	13.52	18.44	9.66	18.44	25.35	13.52	25.35	25.35	11.27	9.66	11.27	13.52
7	11.03	13.23	18.04	13.23	18.04	9.45	18.04	24.81	13.23	24.81	24.81	11.03	9.45	11.03	13.23
8	10.98	13.17	17.96	13.17	17.96	9.41	17.96	24.69	13.17	24.69	24.69	10.98	9.41	10.98	13.17
800	8.73	10.48	14.29	10.48	14.29	7.49	14.29	19.65	10.48	19.65	19.65	8.73	7.49	8.73	10.48
9	11.38	13.65	18.61	13.65	18.61	9.75	18.61	25.59	13.65	25.59	25.59	11.38	9.75	11.38	13.65
801	8.69	10.43	14.22	10.43	14.22	7.45	14.22	19.56	10.43	19.56	19.56	8.69	7.45	8.69	10.43
802	8.83	10.60	14.45	10.60	14.45	7.57	14.45	19.88	10.60	19.88	19.88	8.83	7.57	8.83	10.60
803	8.95	10.74	14.65	10.74	14.65	7.67	14.65	20.14	10.74	20.14	20.14	8.95	7.67	8.95	10.74
804	8.94	10.73	14.63	10.73	14.63	7.66	14.63	20.12	10.73	20.12	20.12	8.94	7.66	8.94	10.73
805	8.73	10.48	14.29	10.48	14.29	7.49	14.29	19.65	10.48	19.65	19.65	8.73	7.49	8.73	10.48
806	8.88	10.66	14.54	10.66	14.54	7.61	14.54	19.99	10.66	19.99	19.99	8.88	7.61	8.88	10.66
807	8.96	10.75	14.66	10.75	14.66	7.68	14.66	20.16	10.75	20.16	20.16	8.96	7.68	8.96	10.75
808	8.73	10.48	14.29	10.48	14.29	7.49	14.29	19.65	10.48	19.65	19.65	8.73	7.49	8.73	10.48
809	8.68	10.42	14.21	10.42	14.21	7.44	14.21	19.54	10.42	19.54	19.54	8.68	7.44	8.68	10.42
1000	2.10	2.52	3.44	2.52	3.44	1.80	3.44	4.73	2.52	4.73	4.73	2.10	1.80	2.10	2.52
810	8.92	10.70	14.59	10.70	14.59	7.64	14.59	20.06	10.70	20.06	20.06	8.92	7.64	8.92	10.70
811	8.93	10.71	14.60	10.71	14.60	7.65	14.60	20.08	10.71	20.08	20.08	8.93	7.65	8.93	10.71
812	8.81	10.57	14.41	10.57	14.41	7.55	14.41	19.82	10.57	19.82	19.82	8.81	7.55	8.81	10.57
813	8.85	10.62	14.48	10.62	14.48	7.59	14.48	19.91	10.62	19.91	19.91	8.85	7.59	8.85	10.62
814	8.96	10.75	14.66	10.75	14.66	7.68	14.66	20.16	10.75	20.16	20.16	8.96	7.68	8.96	10.75
815	8.83	10.60	14.45	10.60	14.45	7.57	14.45	19.88	10.60	19.88	19.88	8.83	7.57	8.83	10.60
816	8.77	10.53	14.36	10.53	14.36	7.52	14.36	19.74	10.53	19.74	19.74	8.77	7.52	8.77	10.53
817	8.77	10.53	14.36	10.53	14.36	7.52	14.36	19.74	10.53	19.74	19.74	8.77	7.52	8.77	10.53
818	8.79	10.55	14.39	10.55	14.39	7.54	14.39	19.78	10.55	19.78	19.78	8.79	7.54	8.79	10.55
819	8.64	10.37	14.14	10.37	14.14	7.41	14.14	19.44	10.37	19.44	19.44	8.64	7.41	8.64	10.37
820	8.89	10.67	14.55	10.67	14.55	7.62	14.55	20.01	10.67	20.01	20.01	8.89	7.62	8.89	10.67
821	8.86	10.63	14.50	10.63	14.50	7.59	14.50	19.93	10.63	19.93	19.93	8.86	7.59	8.86	10.63
1001	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
822	8.77	10.53	14.36	10.53	14.36	7.52	14.36	19.74	10.53	19.74	19.74	8.77	7.52	8.77	10.53
823	8.81	10.57	14.41	10.57	14.41	7.55	14.41	19.82	10.57	19.82	19.82	8.81	7.55	8.81	10.57
824	8.85	10.62	14.48	10.62	14.48	7.59	14.48	19.91	10.62	19.91	19.91	8.85	7.59	8.85	10.62
825	8.75	10.50	14.32	10.50	14.32	7.50	14.32	19.69	10.50	19.69	19.69	8.75	7.50	8.75	10.50
826	8.83	10.60	14.45	10.60	14.45	7.57	14.45	19.88	10.60	19.88	19.88	8.83	7.57	8.83	10.60
827	8.80	10.56	14.40	10.56	14.40	7.54	14.40	19.80	10.56	19.80	19.80	8.80	7.54	8.80	10.56
828	8.84	10.61	14.47	10.61	14.47	7.58	14.47	19.89	10.61	19.89	19.89	8.84	7.58	8.84	10.61
829	44.13	52.96	72.22	52.96	72.22	37.83	72.22	99.30	52.96	99.30	99.30	44.13	37.83	44.13	52.96
830	74.27	89.12	121.53	89.12	121.53	63.66	121.53	167.10	89.12	167.10	167.10	74.27	63.66	74.27	89.12
831	8.77	10.53	14.36	10.53	14.36	7.52	14.36	19.74	10.53	19.74	19.74	8.77	7.52	8.77	10.53
832	8.83	10.59	14.44	10.59	14.44	7.56	14.44	19.86	10.59	19.86	19.86	8.83	7.56	8.83	10.59
833	8.77	10.53	14.36	10.53	14.36	7.52	14.36	19.74	10.53	19.74	19.74	8.77	7.52	8.77	10.53
834	8.82	10.58	14.43	10.58	14.43	7.56	14.43	19.84	10.58	19.84	19.84	8.82	7.56	8.82	10.58
