47	61	0.00
47	60	0.00
48	72	0.00
48	71	0.00
54	78	0.00
69	93	0.00
48	70	0.00
50	74	0.00
1	24	0.01
46	56	0.00
5	28	0.01
46	57	0.00
47	68	0.00
12	35	0.01
46	54	0.00
47	67	0.00
46	55	0.00
47	66	0.00
16	39	0.01
46	52	0.00
47	65	0.00
46	53	0.00
47	64	0.00
46	50	0.00
47	63	0.00
46	51	0.00
47	62	0.00
85	98	0.00
42	48	0.00
61	85	0.00
58	82	0.00
65	89	0.00
46	49	0.00
72	96	0.00
29	46	0.00
53	77	0.00
68	92	0.00
0	23	0.01
4	27	0.01
48	69	0.00
11	34	0.01
15	38	0.01
49	73	0.00
60	84	0.00
57	81	0.00
64	88	0.00
19	42	0.01
22	45	0.01
9	32	0.01
71	95	0.00
52	76	0.00
67	91	0.00
3	26	0.01
10	33	0.01
14	37	0.01
63	87	0.00
56	80	0.00
37	47	0.00
18	41	0.01
21	44	0.01
93	99	0.00
8	31	0.01
70	94	0.00
51	75	0.00
66	90	0.00
55	79	0.00
2	25	0.01
6	29	0.01
13	36	0.01
59	83	0.00
62	86	0.00
46	58	0.00
20	43	0.01
46	59	0.00
17	40	0.01
73	97	0.00
7	30	0.01
