88	375.90	615.11	322.20	451.08	615.11	845.78	845.78	375.90	322.20	845.78	375.90	375.90	845.78	322.20	845.78	845.78	615.11	615.11	451.08	451.08
89	271.13	443.66	232.39	325.35	443.66	610.03	610.03	271.13	232.39	610.03	271.13	271.13	610.03	232.39	610.03	610.03	443.66	443.66	325.35	325.35
90	363.63	595.04	311.69	436.36	595.04	818.18	818.18	363.63	311.69	818.18	363.63	363.63	818.18	311.69	818.18	818.18	595.04	595.04	436.36	436.36
91	424.55	694.72	363.90	509.46	694.72	955.24	955.24	424.55	363.90	955.24	424.55	424.55	955.24	363.90	955.24	955.24	694.72	694.72	509.46	509.46
92	256.07	419.02	219.49	307.28	419.02	576.15	576.15	256.07	219.49	576.15	256.07	256.07	576.15	219.49	576.15	576.15	419.02	419.02	307.28	307.28
93	284.91	466.21	244.21	341.89	466.21	641.04	641.04	284.91	244.21	641.04	284.91	284.91	641.04	244.21	641.04	641.04	466.21	466.21	341.89	341.89
94	418.42	684.68	358.64	502.10	684.68	941.44	941.44	418.42	358.64	941.44	418.42	418.42	941.44	358.64	941.44	941.44	684.68	684.68	502.10	502.10
95	367.80	601.85	315.26	441.36	601.85	827.55	827.55	367.80	315.26	827.55	367.80	367.80	827.55	315.26	827.55	827.55	601.85	601.85	441.36	441.36
96	213.74	349.76	183.21	256.49	349.76	480.92	480.92	213.74	183.21	480.92	213.74	213.74	480.92	183.21	480.92	480.92	349.76	349.76	256.49	256.49
97	415.78	680.36	356.38	498.93	680.36	935.49	935.49	415.78	356.38	935.49	415.78	415.78	935.49	356.38	935.49	935.49	680.36	680.36	498.93	498.93
10	15.20	24.87	13.03	18.24	24.87	34.20	34.20	15.20	13.03	34.20	15.20	15.20	34.20	13.03	34.20	34.20	24.87	24.87	18.24	18.24
98	4.34	7.10	3.72	5.21	7.10	9.77	9.77	4.34	3.72	9.77	4.34	4.34	9.77	3.72	9.77	9.77	7.10	7.10	5.21	5.21
11	15.70	25.69	13.46	18.84	25.69	35.33	35.33	15.70	13.46	35.33	15.70	15.70	35.33	13.46	35.33	35.33	25.69	25.69	18.84	18.84
99	4.55	7.45	3.90	5.46	7.45	10.24	10.24	4.55	3.90	10.24	4.55	4.55	10.24	3.90	10.24	10.24	7.45	7.45	5.46	5.46
12	14.45	23.65	12.39	17.34	23.65	32.51	32.51	14.45	12.39	32.51	14.45	14.45	32.51	12.39	32.51	32.51	23.65	23.65	17.34	17.34
13	14.93	24.42	12.79	17.91	24.42	33.58	33.58	14.93	12.79	33.58	14.93	14.93	33.58	12.79	33.58	33.58	24.42	24.42	17.91	17.91
14	15.00	24.55	12.86	18.00	24.55	33.75	33.75	15.00	12.86	33.75	15.00	15.00	33.75	12.86	33.75	33.75	24.55	24.55	18.00	18.00
15	15.91	26.03	13.64	19.09	26.03	35.79	35.79	15.91	13.64	35.79	15.91	15.91	35.79	13.64	35.79	35.79	26.03	26.03	19.09	19.09
16	15.57	25.47	13.34	18.68	25.47	35.03	35.03	15.57	13.34	35.03	15.57	15.57	35.03	13.34	35.03	35.03	25.47	25.47	18.68	18.68
17	15.61	25.54	13.38	18.73	25.54	35.12	35.12	15.61	13.38	35.12	15.61	15.61	35.12	13.38	35.12	35.12	25.54	25.54	18.73	18.73
18	15.08	24.68	12.93	18.10	24.68	33.94	33.94	15.08	12.93	33.94	15.08	15.08	33.94	12.93	33.94	33.94	24.68	24.68	18.10	18.10
19	14.88	24.34	12.75	17.85	24.34	33.47	33.47	14.88	12.75	33.47	14.88	14.88	33.47	12.75	33.47	33.47	24.34	24.34	17.85	17.85
0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	14.77	24.16	12.66	17.72	24.16	33.23	33.23	14.77	12.66	33.23	14.77	14.77	33.23	12.66	33.23	33.23	24.16	24.16	17.72	17.72
2	15.34	25.10	13.15	18.41	25.10	34.52	34.52	15.34	13.15	34.52	15.34	15.34	34.52	13.15	34.52	34.52	25.10	25.10	18.41	18.41
3	15.24	24.94	13.06	18.29	24.94	34.29	34.29	15.24	13.06	34.29	15.24	15.24	34.29	13.06	34.29	34.29	24.94	24.94	18.29	18.29
4	15.30	25.04	13.11	18.36	25.04	34.43	34.43	15.30	13.11	34.43	15.30	15.30	34.43	13.11	34.43	34.43	25.04	25.04	18.36	18.36
5	15.61	25.54	13.38	18.73	25.54	35.12	35.12	15.61	13.38	35.12	15.61	15.61	35.12	13.38	35.12	35.12	25.54	25.54	18.73	18.73
6	14.99	24.53	12.85	17.99	24.53	33.73	33.73	14.99	12.85	33.73	14.99	14.99	33.73	12.85	33.73	33.73	24.53	24.53	17.99	17.99
7	15.05	24.63	12.90	18.06	24.63	33.86	33.86	15.05	12.90	33.86	15.05	15.05	33.86	12.90	33.86	33.86	24.63	24.63	18.06	18.06
8	15.80	25.85	13.54	18.96	25.85	35.55	35.55	15.80	13.54	35.55	15.80	15.80	35.55	13.54	35.55	35.55	25.85	25.85	18.96	18.96
9	15.15	24.79	12.99	18.18	24.79	34.09	34.09	15.15	12.99	34.09	15.15	15.15	34.09	12.99	34.09	34.09	24.79	24.79	18.18	18.18
20	15.29	25.02	13.11	18.35	25.02	34.41	34.41	15.29	13.11	34.41	15.29	15.29	34.41	13.11	34.41	34.41	25.02	25.02	18.35	18.35
21	15.29	25.02	13.11	18.35	25.02	34.41	34.41	15.29	13.11	34.41	15.29	15.29	34.41	13.11	34.41	34.41	25.02	25.02	18.35	18.35
22	15.98	26.14	13.69	19.17	26.14	35.94	35.94	15.98	13.69	35.94	15.98	15.98	35.94	13.69	35.94	35.94	26.14	26.14	19.17	19.17
23	15.38	25.17	13.19	18.46	25.17	34.61	34.61	15.38	13.19	34.61	15.38	15.38	34.61	13.19	34.61	34.61	25.17	25.17	18.46	18.46
24	393.39	643.73	337.19	472.07	643.73	885.13	885.13	393.39	337.19	885.13	393.39	393.39	885.13	337.19	885.13	885.13	643.73	643.73	472.07	472.07
25	268.75	439.77	230.36	322.50	439.77	604.69	604.69	268.75	230.36	604.69	268.75	268.75	604.69	230.36	604.69	604.69	439.77	439.77	322.50	322.50
26	470.14	769.32	402.98	564.17	769.32	1057.82	1057.82	470.14	402.98	1057.82	470.14	470.14	1057.82	402.98	1057.82	1057.82	769.32	769.32	564.17	564.17
27	369.96	605.39	317.11	443.95	605.39	832.41	832.41	369.96	317.11	832.41	369.96	369.96	832.41	317.11	832.41	832.41	605.39	605.39	443.95	443.95
28	286.85	469.39	245.87	344.22	469.39	645.41	645.41	286.85	245.87	645.41	286.85	286.85	645.41	245.87	645.41	645.41	469.39	469.39	344.22	344.22
