HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
93.15	2346.96	102.47	93.15	2346.96	1.1
93.15	2346.96	121.09	115.01	2177.31	1.3
93.15	2346.96	139.72	136.87	2119.47	1.5
93.15	2346.96	149.04	140.48	2132.41	1.6
93.15	2346.96	158.35	151.41	2119.47	1.7
93.15	2346.96	167.67	162.34	2108.01	1.8
93.15	2346.96	186.30	173.27	2104.41	2.0
93.15	2346.96	214.24	173.27	2104.41	2.3
93.15	2346.96	232.87	173.27	2104.41	2.5
93.15	2346.96	465.75	173.27	2104.41	5.0
77.70	2038.90	85.47	77.70	2038.90	1.1
77.70	2038.90	101.01	100.76	1935.60	1.3
77.70	2038.90	116.55	111.92	1884.68	1.5
77.70	2038.90	124.32	118.08	1884.68	1.6
77.70	2038.90	132.09	129.24	1833.86	1.7
77.70	2038.90	139.86	138.35	1813.26	1.8
77.70	2038.90	155.40	149.51	1784.15	2.0
77.70	2038.90	178.71	171.77	1767.52	2.3
77.70	2038.90	194.25	189.99	1757.36	2.5
77.70	2038.90	388.50	208.21	1754.03	5.0
66.59	1661.17	73.25	66.59	1661.17	1.1
66.59	1661.17	86.57	84.10	1633.45	1.3
66.59	1661.17	99.89	99.12	1605.73	1.5
66.59	1661.17	106.54	99.12	1605.73	1.6
66.59	1661.17	113.20	108.68	1578.38	1.7
66.59	1661.17	119.86	113.94	1578.38	1.8
66.59	1661.17	133.18	133.02	1548.72	2.0
66.59	1661.17	153.16	150.54	1536.80	2.3
66.59	1661.17	166.48	163.79	1525.06	2.5
66.59	1661.17	332.95	213.59	1502.98	5.0
66.59	1639.50	73.25	66.59	1639.50	1.1
66.59	1639.50	86.57	82.21	1560.27	1.3
66.59	1639.50	99.89	92.80	1560.27	1.5
66.59	1639.50	106.54	100.61	1548.35	1.6
66.59	1639.50	113.20	108.42	1536.61	1.7
66.59	1639.50	119.86	113.86	1536.61	1.8
66.59	1639.50	133.18	129.48	1513.60	2.0
66.59	1639.50	153.16	145.10	1505.94	2.3
66.59	1639.50	166.48	163.66	1503.53	2.5
66.59	1639.50	332.95	173.22	1502.98	5.0
66.59	1860.83	73.25	66.59	1860.83	1.1
66.59	1860.83	86.57	82.21	1763.54	1.3
66.59	1860.83	99.89	97.44	1748.57	1.5
66.59	1860.83	106.54	105.25	1736.32	1.6
66.59	1860.83	113.20	106.81	1733.88	1.7
66.59	1860.83	119.86	114.62	1722.15	1.8
66.59	1860.83	133.18	127.21	1722.15	2.0
66.59	1860.83	153.16	150.64	1687.31	2.3
66.59	1860.83	166.48	166.26	1671.14	2.5
66.59	1860.83	332.95	219.97	1502.98	5.0
66.59	1586.93	73.25	66.59	1586.93	1.1
66.59	1586.93	86.57	83.28	1512.22	1.3
66.59	1586.93	99.89	92.84	1504.18	1.5
66.59	1586.93	106.54	102.40	1502.98	1.6
66.59	1586.93	113.20	102.40	1502.98	1.7
66.59	1586.93	119.86	102.40	1502.98	1.8
66.59	1586.93	133.18	102.40	1502.98	2.0
66.59	1586.93	153.16	102.40	1502.98	2.3
66.59	1586.93	166.48	102.40	1502.98	2.5
66.59	1586.93	332.95	102.40	1502.98	5.0
66.59	1976.45	73.25	66.59	1976.45	1.1
66.59	1976.45	86.57	82.21	1915.84	1.3
66.59	1976.45	99.89	97.83	1851.05	1.5
66.59	1976.45	106.54	105.64	1791.29	1.6
66.59	1976.45	113.20	107.34	1851.05	1.7
66.59	1976.45	119.86	115.15	1791.29	1.8
66.59	1976.45	133.18	126.76	1791.29	2.0
66.59	1976.45	153.16	150.19	1650.33	2.3
66.59	1976.45	166.48	165.81	1558.01	2.5
66.59	1976.45	332.95	189.24	1502.98	5.0
